Fiscal Year,Source File Date,Source File,Facility Name,City,State,AOR,Type Detailed,Avg Length of Stay (days),Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,Total Detained Population,Last Inspection Type,Last Inspection End Date,Last Inspection Standard,Last Final Rating
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,CUMBERLAND COUNTY JAIL,PORTLAND,ME,BOS,USMS IGA,5,1,2,0,0,3,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,CALHOUN COUNTY CORRECTIONAL CENTER,BATTLE CREEK,MI,DET,IGSA,52,46,32,3,2,83,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,CHIPPEWA COUNTY SSM,SAULT SAINTE MARIE,MI,DET,IGSA,59,3,5,0,0,8,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,MONROE COUNTY DETENTION-DORM,MONROE,MI,DET,IGSA,52,3,21,0,0,24,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,SAINT CLAIR COUNTY JAIL,PORT HURON,MI,DET,IGSA,38,22,26,0,0,48,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,FREEBORN COUNTY ADULT DETENTION CENTER,ALBERT LEA,MN,SPM,IGSA,38,22,6,0,0,28,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,KANDIYOHI COUNTY JAIL,WILLMAR,MN,SPM,IGSA,47,48,26,10,3,87,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,SHERBURNE COUNTY JAIL,ELK RIVER,MN,SPM,IGSA,196,2,0,0,0,2,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,LINCOLN COUNTY DETENTION CENTER,TROY,MO,CHI,IGSA,2,0,0,0,0,0,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,SAIPAN DEPARTMENT OF CORRECTIONS (SUSUPE),SAIPAN,MP,SFR,USMS IGA,62,2,0,0,0,2,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ADAMS COUNTY DET CENTER,NATCHEZ,MS,NOL,DIGSA,27,16,871,0,0,887,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,HANCOCK CO PUB SFTY CPLX,BAY ST. LOUIS,MS,NOL,IGSA,2,2,4,0,0,6,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,MADISON COUNTY JAIL,CANTON,MS,NOL,USMS IGA,3,3,1,0,0,4,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,CASCADE COUNTY JAIL (MONTANA),GREAT FALLS,MT,SLC,USMS IGA,6,1,0,0,0,1,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ALAMANCE COUNTY DETENTION FACILITY,GRAHAM,NC,ATL,IGSA,4,15,2,0,0,17,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,NEW HANOVER COUNTY JAIL,CASTLE HAYNE,NC,ATL,USMS IGA,2,1,0,0,0,1,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,GRAND FORKS COUNTY CORRECTIONAL FACILITY,GRAND FORKS,ND,SPM,USMS IGA,2,0,0,0,0,0,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,HALL COUNTY DEPARTMENT OF CORRECTIONS,GRAND ISLAND,NE,SPM,IGSA,40,12,1,1,0,14,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,PHELPS COUNTY JAIL,HOLDREGE,NE,SPM,USMS IGA,44,2,1,0,0,3,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,STRAFFORD COUNTY CORRECTIONS,DOVER,NH,BOS,IGSA,58,36,22,2,2,62,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ELIZABETH CONTRACT DETENTION FACILITY,ELIZABETH,NJ,NEW,CDF,16,32,117,3,13,165,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,CIBOLA COUNTY CORRECTIONAL CENTER,MILAN,NM,ELP,IGSA,26,1,88,0,0,89,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,OTERO COUNTY PROCESSING CENTER,CHAPARRAL,NM,ELP,DIGSA,46,17,439,2,114,572,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,TORRANCE COUNTY DETENTION FACILITY,ESTANCIA,NM,ELP,IGSA,26,0,212,0,0,212,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,HENDERSON DETENTION CENTER,HENDERSON,NV,SLC,USMS IGA,33,45,12,10,2,69,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,NEVADA SOUTHERN DETENTION CENTER,PAHRUMP,NV,SLC,USMS CDF,28,87,40,0,0,127,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,"NYE COUNTY DETENTION CENTER, SOUTHERN (PAHRUMP)",PAHRUMP,NV,SLC,USMS CDF,42,64,5,0,0,69,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,WASHOE COUNTY JAIL,RENO,NV,SLC,USMS IGA,11,10,1,0,0,11,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,BUFFALO (BATAVIA) SERVICE PROCESSING CENTER,BATAVIA,NY,BUF,SPC,63,219,133,0,0,352,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,ORANGE COUNTY JAIL,GOSHEN,NY,NYC,IGSA,51,52,16,4,1,73,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,GEAUGA COUNTY JAIL,CHARDON,OH,DET,USMS IGA,60,12,9,0,3,24,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,SENECA COUNTY JAIL,TIFFIN,OH,DET,IGSA,43,39,15,1,3,58,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,GARVIN COUNTY DETENTION CENTER,PAULS VALLEY,OK,DAL,IGSA,2,0,0,0,0,0,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,KAY COUNTY JUSTICE FACILITY,NEWKIRK,OK,CHI,IGSA,38,36,30,0,0,66,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,TULSA COUNTY JAIL (DAVID L. MOSS JUSTICE CTR),TULSA,OK,DAL,IGSA,2,2,1,0,0,3,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,CLINTON COUNTY CORRECTIONAL FACILITY,LOCK HAVEN,PA,PHI,USMS IGA,55,50,2,1,1,54,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PA,PHI,DIGSA,71,581,330,16,14,941,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,PIKE COUNTY CORRECTIONAL FACILITY,LORDS VALLEY,PA,PHI,IGSA,37,68,32,0,0,100,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,GUAYNABO MDC (SAN JUAN),SAN JUAN,PR,MIA,BOP,8,4,1,0,0,5,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,WYATT DETENTION CENTER,CENTRAL FALLS,RI,BOS,USMS IGA,39,18,41,0,0,59,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,LEXINGTON COUNTY JAIL,LEXINGTON,SC,ATL,USMS IGA,1,1,1,0,0,2,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,KNOX COUNTY DETENTION FACILITY,Knoxville,TN,NOL,USMS IGA,2,2,0,0,0,2,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,BELL COUNTY JAIL,BELTON,TX,HOU,USMS IGA,2,0,0,0,0,0,,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,BLUEBONNET DETENTION FACILITY,ANSON,TX,DAL,DIGSA,36,143,314,4,79,540,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,COASTAL BEND DETENTION FACILITY,ROBSTOWN,TX,HLG,USMS IGA,3,3,4,0,1,8,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,DALLAS COUNTY JAIL - LEW STERRETT JUSTICE CENTER,DALLAS,TX,DAL,USMS IGA,1,3,3,0,0,6,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,EAST HIDALGO DETENTION CENTER,LA VILLA,TX,HLG,USMS IGA,1,0,0,0,0,0,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,EDEN DETENTION CENTER,EDEN,TX,DAL,USMS IGA,31,11,134,0,0,145,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,EL PASO SERVICE PROCESSING CENTER,EL PASO,TX,ELP,SPC,37,198,224,27,105,554,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,EL VALLE DETENTION FACILITY,RAYMONDVILLE,TX,HLG,DIGSA,29,16,332,5,281,634,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,HOUSTON CONTRACT DETENTION FACILITY,HOUSTON,TX,HOU,CDF,30,1,446,0,130,577,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,IAH SECURE ADULT DETENTION FACILITY (POLK),LIVINGSTON,TX,HOU,DIGSA,34,2,554,0,0,556,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,JOE CORLEY PROCESSING CTR,CONROE,TX,HOU,IGSA,33,61,507,0,0,568,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,KARNES COUNTY IMMIGRATION PROCESSING CENTER,KARNES CITY,TX,SNA,DIGSA,28,19,762,0,0,781,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,LAREDO PROCESSING CENTER,LAREDO,TX,HLG,DIGSA,32,8,63,14,123,208,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,LIMESTONE COUNTY DETENTION CENTER,GROESBECK,TX,HOU,USMS IGA,22,5,18,0,0,23,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,MONTGOMERY ICE PROCESSING CENTER,CONROE,TX,HOU,CDF,33,556,331,35,57,979,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,PORT ISABEL,LOS FRESNOS,TX,HLG,SPC,11,112,685,0,2,799,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,PRAIRIELAND DETENTION FACILITY,ALVARADO,TX,DAL,DIGSA,19,284,222,18,16,540,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,RIO GRANDE DETENTION CENTER,LAREDO,TX,HLG,USMS CDF,34,35,289,0,0,324,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,SOUTH TEXAS FAMILY RESIDENTIAL CENTER,DILLEY,TX,SNA,DIGSA,28,0,25,3,1063,1091,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,SOUTH TEXAS ICE PROCESSING CENTER,PEARSALL,TX,SNA,CDF,40,214,1073,0,0,1287,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,T. DON HUTTO DETENTION CENTER,TAYLOR,TX,SNA,DIGSA,34,86,296,0,0,382,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,VAL VERDE CORRECTIONAL FACILITY,DEL RIO,TX,SNA,USMS IGA,1,0,0,0,0,0,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,WEBB COUNTY DETENTION CENTER (CCA),LAREDO,TX,HLG,DIGSA,43,53,102,12,16,183,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,SALT LAKE COUNTY METRO JAIL,SALT LAKE CITY,UT,SLC,USMS IGA,2,3,1,0,0,4,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,CAROLINE DETENTION FACILITY,BOWLING GREEN,VA,WAS,DIGSA,47,140,59,0,0,199,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,IMMIGRATION CENTERS OF AMERICA FARMVILLE,FARMVILLE,VA,WAS,DIGSA,42,57,22,0,0,79,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,CHITTENDEN REGIONAL CORRECTIONAL FACILITY,SOUTH BURLINGTON,VT,BOS,IGSA,3,0,0,0,1,1,,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,NORTHWEST STATE CORRECTIONAL CENTER,SWANTON,VT,BOS,USMS IGA,2,0,3,0,0,3,ORSA,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,TACOMA ICE PROCESSING CENTER (NORTHWEST DET CTR),TACOMA,WA,SEA,CDF,66,207,295,22,46,570,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,DODGE COUNTY JAIL,JUNEAU,WI,CHI,USMS IGA,35,86,29,2,0,117,Regular,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,WAUKESHA COUNTY JAIL,WAUKESHA,WI,CHI,USMS IGA,2,0,0,0,0,0,,,,
FY23,2023-09-29,FY23_detentionStats09292023.xlsx,SOUTH CENTRAL REGIONAL JAIL,CHARLESTON,WV,PHI,IGSA,7,4,0,0,0,4,ORSA,,,
FY24,2024-06-20,FY24_detentionStats06202024.xlsx,BALDWIN COUNTY CORRECTIONAL CENTER,BAY MINETTE,AL,NOL,USMS IGA,2,0,1,0,0,1,ODO,2023-09-28,NDS 2019,Fail
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,BALDWIN COUNTY CORRECTIONAL CENTER,BAY MINETTE,AL,NOL,USMS IGA,2,0,1,0,0,1,ODO,2023-09-28,NDS 2019,Fail
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,BALDWIN COUNTY CORRECTIONAL CENTER,BAY MINETTE,AL,NOL,USMS IGA,2,0,1,0,0,1,ODO,2023-09-28,NDS 2019,Fail
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,BALDWIN COUNTY CORRECTIONAL CENTER,BAY MINETTE,AL,NOL,USMS IGA,2,1,0,0,0,1,ORSA,,,
FY24,2024-05-24,FY24_detentionStats05242024.xlsx,PICKENS COUNTY DET CTR,CARROLLTON,AL,NOL,IGSA,3,13,9,3,1,26,ODO,2023-11-30,NDS 2019,Pass
FY24,2024-06-20,FY24_detentionStats06202024.xlsx,PICKENS COUNTY DET CTR,CARROLLTON,AL,NOL,IGSA,3,13,9,2,1,25,ODO,2023-11-30,NDS 2019,Pass
FY24,2024-07-18,FY24_detentionStats07182024.xlsx,PICKENS COUNTY DET CTR,CARROLLTON,AL,NOL,IGSA,3,14,10,2,1,27,ODO,2023-11-30,NDS 2019,Pass
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,PICKENS COUNTY DET CTR,CARROLLTON,AL,NOL,IGSA,3,14,10,2,1,27,ODO,2024-08-08,NDS 2019,Pending Final Report
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,PICKENS COUNTY DET CTR,CARROLLTON,AL,NOL,IGSA,3,14,10,2,1,27,ODO,2024-08-08,NDS 2019,Pending Final Rating
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,PICKENS COUNTY DET CTR,CARROLLTON,AL,NOL,IGSA,3,9,6,2,1,18,,,,
FY24,2024-02-29,FY24_detentionStats02292024.xlsx,Pickens County DET CTR,Carrollton,AL,NOL,IGSA,3,11,7,3,0,21,ODO,,,
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Pickens County Det Ctr,Carrollton,AL,NOL,IGSA,3,10,6,2,0,18,ORSA,,,
FY24,2024-03-29,FY24_detentionStats03292024.xlsx,Pickens County Det Ctr,Carrollton,AL,NOL,IGSA,3,12,7,3,0,22,ODO,,,
FY24,2024-04-25,FY24_detentionStats04252024.xlsx,Pickens County Det Ctr,Carrollton,AL,NOL,IGSA,3,12,8,3,0,23,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Pickens County Det Ctr,Carrollton,AL,NOL,IGSA,3,10,6,2,1,19,ORSA,,,
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Miller County Jail,Texarkana,AR,NOL,USMS IGA,2,0,0,0,0,0,ORSA,,,
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Sebastian County Detention Center,Fort Smith,AR,NOL,USMS IGA,2,0,0,0,0,0,ORSA,,,
FY24,2024-06-20,FY24_detentionStats06202024.xlsx,WASHINGTON COUNTY DETENTION CENTER,FAYETTEVILLE,AR,NOL,USMS IGA,2,1,0,0,0,1,ODO,2023-11-02,NDS 2019,Pass
FY24,2024-07-18,FY24_detentionStats07182024.xlsx,WASHINGTON COUNTY DETENTION CENTER,FAYETTEVILLE,AR,NOL,USMS IGA,2,1,1,0,0,2,ODO,2023-11-02,NDS 2019,Pass
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,WASHINGTON COUNTY DETENTION CENTER,FAYETTEVILLE,AR,NOL,USMS IGA,2,1,1,0,0,2,ODO,2023-11-02,NDS 2019,Pass
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,WASHINGTON COUNTY DETENTION CENTER,FAYETTEVILLE,AR,NOL,USMS IGA,2,1,1,0,0,2,ODO,2023-11-02,NDS 2019,Pass
FY24,2024-01-18,FY24_detentionStats01182024.xlsx,Washington County Detention Center,Fayetteville,AR,NOL,USMS IGA,2,1,0,0,0,1,ORSA,,,
FY24,2024-02-29,FY24_detentionStats02292024.xlsx,Washington County Detention Center,Fayetteville,AR,NOL,USMS IGA,2,1,0,0,0,1,ORSA,,,
FY24,2024-04-25,FY24_detentionStats04252024.xlsx,Washington County Detention Center,Fayetteville,AR,NOL,USMS IGA,2,1,0,0,0,1,ODO,,,
FY24,2023-12-20,FY24_detentionStats12202023.xlsx,Washington County Detention Center,Fayetteville,AR,NOL,USMS IGA,2,1,0,0,0,1,ORSA,,,
FY24,2024-05-24,FY24_detentionStats05242024.xlsx,"CCA, FLORENCE CORRECTIONAL CENTER",FLORENCE,AZ,PHO,USMS IGA,48,250,122,0,0,372,ODO,2023-12-07,NDS 2019,Pass
FY24,2024-06-20,FY24_detentionStats06202024.xlsx,"CCA, FLORENCE CORRECTIONAL CENTER",FLORENCE,AZ,PHO,USMS IGA,49,251,122,0,0,373,ODO,2023-12-07,NDS 2019,Pass
FY24,2024-07-18,FY24_detentionStats07182024.xlsx,"CCA, FLORENCE CORRECTIONAL CENTER",FLORENCE,AZ,PHO,USMS IGA,49,256,118,0,0,374,ODO,2023-12-07,NDS 2019,Pass
FY24,2024-08-29,FY24_detentionStats08292024.xlsx,"CCA, FLORENCE CORRECTIONAL CENTER",FLORENCE,AZ,PHO,USMS IGA,49,257,118,0,0,375,ODO,2024-05-09,NDS 2019,Pass
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,"CCA, FLORENCE CORRECTIONAL CENTER",FLORENCE,AZ,PHO,USMS IGA,49,257,118,0,0,375,ODO,2023-12-07,NDS 2019,Pass
FY24,2023-11-22,FY24_detentionStats11222023.xlsx,"CCA, FLORENCE CORRECTIONAL CENTER",FLORENCE,AZ,PHO,USMS IGA,54,245,120,0,0,365,ODO,,,
FY24,2024-02-29,FY24_detentionStats02292024.xlsx,"CCA, Florence Correctional Center",Florence,AZ,PHO,USMS IGA,46,244,124,0,0,368,ODO,,,
