Fiscal Year,Source File Date,Source File,Sheet Used,Release Reason,Criminality,Month,Count,IsSheetTotal,Level,ParentReason
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Other Immigration Violator,Oct,5430,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Total,Oct,67,False,Reason Total,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Convicted Criminal,Oct,33,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Pending Criminal Charges,Oct,11,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Other Immigration Violator,Oct,23,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Total,Oct,9733,False,Reason Total,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Convicted Criminal,Oct,4231,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Pending Criminal Charges,Oct,991,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Other Immigration Violator,Oct,4511,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Total,Oct,99,False,Reason Total,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Convicted Criminal,Oct,46,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Pending Criminal Charges,Oct,15,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Other Immigration Violator,Oct,38,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Total,Oct,424,False,Reason Total,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Convicted Criminal,Oct,297,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Pending Criminal Charges,Oct,82,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Other Immigration Violator,Oct,45,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Total,Oct,20,False,Reason Total,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Convicted Criminal,Oct,6,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Pending Criminal Charges,Oct,7,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Other Immigration Violator,Oct,7,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Total,Oct,3,False,Reason Total,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Convicted Criminal,Oct,0,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Pending Criminal Charges,Oct,0,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Other Immigration Violator,Oct,3,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Total,None,Nov,19637,False,Criminality Detail,Total
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Total,Nov,940,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Convicted Criminal,Nov,173,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Pending Criminal Charges,Nov,212,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Other Immigration Violator,Nov,555,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Total,Nov,363,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Convicted Criminal,Nov,42,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Pending Criminal Charges,Nov,39,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Other Immigration Violator,Nov,282,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Total,Nov,577,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Convicted Criminal,Nov,131,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Pending Criminal Charges,Nov,173,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Other Immigration Violator,Nov,273,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Total,Nov,3068,False,Reason Total,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Convicted Criminal,Nov,185,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Pending Criminal Charges,Nov,211,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Other Immigration Violator,Nov,2672,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Total,Nov,385,False,Reason Total,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Convicted Criminal,Nov,166,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Pending Criminal Charges,Nov,50,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Other Immigration Violator,Nov,169,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Total,Nov,5630,False,Reason Total,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Convicted Criminal,Nov,54,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Pending Criminal Charges,Nov,78,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Other Immigration Violator,Nov,5498,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Total,Nov,78,False,Reason Total,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Convicted Criminal,Nov,31,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Pending Criminal Charges,Nov,5,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Other Immigration Violator,Nov,42,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Total,Nov,9022,False,Reason Total,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Convicted Criminal,Nov,4085,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Pending Criminal Charges,Nov,946,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Other Immigration Violator,Nov,3991,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Total,Nov,82,False,Reason Total,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Convicted Criminal,Nov,44,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Pending Criminal Charges,Nov,10,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Other Immigration Violator,Nov,28,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Total,Nov,385,False,Reason Total,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Convicted Criminal,Nov,263,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Pending Criminal Charges,Nov,108,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Other Immigration Violator,Nov,14,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Total,Nov,45,False,Reason Total,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Convicted Criminal,Nov,16,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Pending Criminal Charges,Nov,7,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Other Immigration Violator,Nov,22,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Total,Nov,2,False,Reason Total,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Convicted Criminal,Nov,0,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Pending Criminal Charges,Nov,0,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Other Immigration Violator,Nov,2,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Total,None,Dec,20287,False,Criminality Detail,Total
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Total,Dec,981,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Convicted Criminal,Dec,194,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Pending Criminal Charges,Dec,212,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Other Immigration Violator,Dec,575,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Total,Dec,360,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Convicted Criminal,Dec,33,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Pending Criminal Charges,Dec,54,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Other Immigration Violator,Dec,273,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Total,Dec,621,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Convicted Criminal,Dec,161,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Pending Criminal Charges,Dec,158,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Other Immigration Violator,Dec,302,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Total,Dec,4452,False,Reason Total,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Convicted Criminal,Dec,180,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Pending Criminal Charges,Dec,250,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Other Immigration Violator,Dec,4022,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Total,Dec,409,False,Reason Total,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Convicted Criminal,Dec,190,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Pending Criminal Charges,Dec,30,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Other Immigration Violator,Dec,189,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Total,Dec,5130,False,Reason Total,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Convicted Criminal,Dec,59,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Pending Criminal Charges,Dec,64,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Other Immigration Violator,Dec,5007,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Total,Dec,63,False,Reason Total,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Convicted Criminal,Dec,20,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Pending Criminal Charges,Dec,12,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Other Immigration Violator,Dec,31,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Total,Dec,8785,False,Reason Total,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Convicted Criminal,Dec,4029,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Pending Criminal Charges,Dec,919,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Other Immigration Violator,Dec,3837,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Total,Dec,84,False,Reason Total,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Convicted Criminal,Dec,43,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Pending Criminal Charges,Dec,13,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Other Immigration Violator,Dec,28,False,Criminality Detail,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Total,Dec,345,False,Reason Total,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Convicted Criminal,Dec,243,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Pending Criminal Charges,Dec,83,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transfer to U.S. Marshals or other agency,Other Immigration Violator,Dec,19,False,Criminality Detail,Transfer to U.S. Marshals or other agency
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Total,Dec,34,False,Reason Total,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Convicted Criminal,Dec,18,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Pending Criminal Charges,Dec,2,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Transferred,Other Immigration Violator,Dec,14,False,Criminality Detail,Transferred
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Total,Dec,4,False,Reason Total,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Convicted Criminal,Dec,2,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Pending Criminal Charges,Dec,0,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Other,Other Immigration Violator,Dec,2,False,Criminality Detail,Other
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Total,None,Jan,19291,False,Criminality Detail,Total
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Total,Jan,690,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Convicted Criminal,Jan,164,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Pending Criminal Charges,Jan,192,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bonded Out,Other Immigration Violator,Jan,334,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Total,Jan,125,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Convicted Criminal,Jan,9,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Pending Criminal Charges,Jan,35,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by ICE,Other Immigration Violator,Jan,81,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Total,Jan,565,False,Reason Total,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Convicted Criminal,Jan,155,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Pending Criminal Charges,Jan,157,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Bond Set by IJ,Other Immigration Violator,Jan,253,False,Criminality Detail,Bonded Out
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Total,Jan,1938,False,Reason Total,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Convicted Criminal,Jan,97,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Pending Criminal Charges,Jan,189,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Recognizance,Other Immigration Violator,Jan,1652,False,Criminality Detail,Order of Recognizance
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Total,Jan,477,False,Reason Total,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Convicted Criminal,Jan,168,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Pending Criminal Charges,Jan,40,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Order of Supervision,Other Immigration Violator,Jan,269,False,Criminality Detail,Order of Supervision
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Total,Jan,4732,False,Reason Total,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Convicted Criminal,Jan,75,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Pending Criminal Charges,Jan,46,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Paroled,Other Immigration Violator,Jan,4611,False,Criminality Detail,Paroled
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Total,Jan,77,False,Reason Total,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Convicted Criminal,Jan,20,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Pending Criminal Charges,Jan,5,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Proceedings Terminated,Other Immigration Violator,Jan,52,False,Criminality Detail,Proceedings Terminated
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Total,Jan,10803,False,Reason Total,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Convicted Criminal,Jan,4523,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Pending Criminal Charges,Jan,1093,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Release to Remove,Other Immigration Violator,Jan,5187,False,Criminality Detail,Release to Remove
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Total,Jan,102,False,Reason Total,Relief Granted by IJ
FY24,2024-09-17,FY24_detentionStats09172024.xlsx,Detention FY24,Relief Granted by IJ,Convicted Criminal,Jan,57,False,Criminality Detail,Relief Granted by IJ
