Technology,Count,Daily Tech Cost,IsTotalRow,RowIndex,Fiscal Year,Source File Date,Source File,Sheet Used,PerCapitaDailyCost
Ankle Monitor,0,0.0,False,10,FY24,2024-09-17,FY24_detentionStats09172024.xlsx,ATD FY24 YTD,
Wristworn,0,0.0,False,11,FY24,2024-09-17,FY24_detentionStats09172024.xlsx,ATD FY24 YTD,
VoiceID,0,0.0,False,12,FY24,2024-09-17,FY24_detentionStats09172024.xlsx,ATD FY24 YTD,
Dual Tech,0,0.0,False,13,FY24,2024-09-17,FY24_detentionStats09172024.xlsx,ATD FY24 YTD,
No Tech,0,0.0,False,14,FY24,2024-09-17,FY24_detentionStats09172024.xlsx,ATD FY24 YTD,
Total,0,0.0,True,15,FY24,2024-09-17,FY24_detentionStats09172024.xlsx,ATD FY24 YTD,
Technology,0,0.0,False,8,FY24,2023-11-22,FY24_detentionStats11222023.xlsx,ATD FY24 YTD,
GPS,0,0.0,False,9,FY24,2023-11-22,FY24_detentionStats11222023.xlsx,ATD FY24 YTD,
SmartLINK,0,0.0,False,10,FY24,2023-11-22,FY24_detentionStats11222023.xlsx,ATD FY24 YTD,
VoiceID,0,0.0,False,11,FY24,2023-11-22,FY24_detentionStats11222023.xlsx,ATD FY24 YTD,
Veriwatch,0,0.0,False,12,FY24,2023-11-22,FY24_detentionStats11222023.xlsx,ATD FY24 YTD,
No Technology,0,0.0,False,13,FY24,2023-11-22,FY24_detentionStats11222023.xlsx,ATD FY24 YTD,
Dual Technology,0,0.0,False,14,FY24,2023-11-22,FY24_detentionStats11222023.xlsx,ATD FY24 YTD,
Total,0,0.0,True,15,FY24,2023-11-22,FY24_detentionStats11222023.xlsx,ATD FY24 YTD,
Technology,0,0.0,False,8,FY24,2023-12-20,FY24_detentionStats12202023.xlsx,ATD FY24 YTD,
GPS,0,0.0,False,9,FY24,2023-12-20,FY24_detentionStats12202023.xlsx,ATD FY24 YTD,
SmartLINK,0,0.0,False,10,FY24,2023-12-20,FY24_detentionStats12202023.xlsx,ATD FY24 YTD,
VoiceID,0,0.0,False,11,FY24,2023-12-20,FY24_detentionStats12202023.xlsx,ATD FY24 YTD,
Veriwatch,0,0.0,False,12,FY24,2023-12-20,FY24_detentionStats12202023.xlsx,ATD FY24 YTD,
No Technology,0,0.0,False,13,FY24,2023-12-20,FY24_detentionStats12202023.xlsx,ATD FY24 YTD,
Dual Technology,0,0.0,False,14,FY24,2023-12-20,FY24_detentionStats12202023.xlsx,ATD FY24 YTD,
Total,0,0.0,True,15,FY24,2023-12-20,FY24_detentionStats12202023.xlsx,ATD FY24 YTD,
Technology,0,0.0,False,8,FY25,2025-01-16,FY25_detentionStats01162025.xlsx,ATD FY25 YTD,
SmartLINK,0,0.0,False,9,FY25,2025-01-16,FY25_detentionStats01162025.xlsx,ATD FY25 YTD,
Ankle Monitor,0,0.0,False,10,FY25,2025-01-16,FY25_detentionStats01162025.xlsx,ATD FY25 YTD,
Wristworn,0,0.0,False,11,FY25,2025-01-16,FY25_detentionStats01162025.xlsx,ATD FY25 YTD,
VoiceID,0,0.0,False,12,FY25,2025-01-16,FY25_detentionStats01162025.xlsx,ATD FY25 YTD,
Dual Tech,0,0.0,False,13,FY25,2025-01-16,FY25_detentionStats01162025.xlsx,ATD FY25 YTD,
No Tech,0,0.0,False,14,FY25,2025-01-16,FY25_detentionStats01162025.xlsx,ATD FY25 YTD,
Total,0,0.0,True,15,FY25,2025-01-16,FY25_detentionStats01162025.xlsx,ATD FY25 YTD,
Technology,0,0.0,False,8,FY25,2025-02-27,FY25_detentionStats02272025.xlsx,ATD FY25 YTD,
SmartLINK,0,0.0,False,9,FY25,2025-02-27,FY25_detentionStats02272025.xlsx,ATD FY25 YTD,
Ankle Monitor,0,0.0,False,10,FY25,2025-02-27,FY25_detentionStats02272025.xlsx,ATD FY25 YTD,
Wristworn,0,0.0,False,11,FY25,2025-02-27,FY25_detentionStats02272025.xlsx,ATD FY25 YTD,
VoiceID,0,0.0,False,12,FY25,2025-02-27,FY25_detentionStats02272025.xlsx,ATD FY25 YTD,
Dual Tech,0,0.0,False,13,FY25,2025-02-27,FY25_detentionStats02272025.xlsx,ATD FY25 YTD,
No Tech,0,0.0,False,14,FY25,2025-02-27,FY25_detentionStats02272025.xlsx,ATD FY25 YTD,
Total,0,0.0,True,15,FY25,2025-02-27,FY25_detentionStats02272025.xlsx,ATD FY25 YTD,
Technology,0,0.0,False,8,FY25,2025-03-26,FY25_detentionStats03262025.xlsx,ATD FY25 YTD,
SmartLINK,0,0.0,False,9,FY25,2025-03-26,FY25_detentionStats03262025.xlsx,ATD FY25 YTD,
Ankle Monitor,0,0.0,False,10,FY25,2025-03-26,FY25_detentionStats03262025.xlsx,ATD FY25 YTD,
Wristworn,0,0.0,False,11,FY25,2025-03-26,FY25_detentionStats03262025.xlsx,ATD FY25 YTD,
VoiceID,0,0.0,False,12,FY25,2025-03-26,FY25_detentionStats03262025.xlsx,ATD FY25 YTD,
Dual Tech,0,0.0,False,13,FY25,2025-03-26,FY25_detentionStats03262025.xlsx,ATD FY25 YTD,
No Tech,0,0.0,False,14,FY25,2025-03-26,FY25_detentionStats03262025.xlsx,ATD FY25 YTD,
Total,0,0.0,True,15,FY25,2025-03-26,FY25_detentionStats03262025.xlsx,ATD FY25 YTD,
Technology,0,0.0,False,8,FY25,2025-04-16,FY25_detentionStats04162025.xlsx,ATD FY25 YTD,
SmartLINK,0,0.0,False,9,FY25,2025-04-16,FY25_detentionStats04162025.xlsx,ATD FY25 YTD,
Ankle Monitor,0,0.0,False,10,FY25,2025-04-16,FY25_detentionStats04162025.xlsx,ATD FY25 YTD,
Wristworn,0,0.0,False,11,FY25,2025-04-16,FY25_detentionStats04162025.xlsx,ATD FY25 YTD,
VoiceID,0,0.0,False,12,FY25,2025-04-16,FY25_detentionStats04162025.xlsx,ATD FY25 YTD,
Dual Tech,0,0.0,False,13,FY25,2025-04-16,FY25_detentionStats04162025.xlsx,ATD FY25 YTD,
No Tech,0,0.0,False,14,FY25,2025-04-16,FY25_detentionStats04162025.xlsx,ATD FY25 YTD,
Total,0,0.0,True,15,FY25,2025-04-16,FY25_detentionStats04162025.xlsx,ATD FY25 YTD,
Technology,0,0.0,False,8,FY25,2025-05-23,FY25_detentionStats05232025.xlsx,ATD FY25 YTD,
SmartLINK,0,0.0,False,9,FY25,2025-05-23,FY25_detentionStats05232025.xlsx,ATD FY25 YTD,
Ankle Monitor,0,0.0,False,10,FY25,2025-05-23,FY25_detentionStats05232025.xlsx,ATD FY25 YTD,
Wristworn,0,0.0,False,11,FY25,2025-05-23,FY25_detentionStats05232025.xlsx,ATD FY25 YTD,
VoiceID,0,0.0,False,12,FY25,2025-05-23,FY25_detentionStats05232025.xlsx,ATD FY25 YTD,
Dual Tech,0,0.0,False,13,FY25,2025-05-23,FY25_detentionStats05232025.xlsx,ATD FY25 YTD,
No Tech,0,0.0,False,14,FY25,2025-05-23,FY25_detentionStats05232025.xlsx,ATD FY25 YTD,
Total,0,0.0,True,15,FY25,2025-05-23,FY25_detentionStats05232025.xlsx,ATD FY25 YTD,
Technology,0,0.0,False,8,FY25,2025-06-20,FY25_detentionStats06202025.xlsx,ATD FY25 YTD,
SmartLINK,0,0.0,False,9,FY25,2025-06-20,FY25_detentionStats06202025.xlsx,ATD FY25 YTD,
Ankle Monitor,0,0.0,False,10,FY25,2025-06-20,FY25_detentionStats06202025.xlsx,ATD FY25 YTD,
Wristworn,0,0.0,False,11,FY25,2025-06-20,FY25_detentionStats06202025.xlsx,ATD FY25 YTD,
VoiceID,0,0.0,False,12,FY25,2025-06-20,FY25_detentionStats06202025.xlsx,ATD FY25 YTD,
Dual Tech,0,0.0,False,13,FY25,2025-06-20,FY25_detentionStats06202025.xlsx,ATD FY25 YTD,
Total,0,0.0,True,14,FY25,2025-06-20,FY25_detentionStats06202025.xlsx,ATD FY25 YTD,
Technology,0,0.0,False,8,FY25,2025-07-31,FY25_detentionStats07312025.xlsx,ATD FY25 YTD,
SmartLINK,0,0.0,False,9,FY25,2025-07-31,FY25_detentionStats07312025.xlsx,ATD FY25 YTD,
Ankle Monitor,0,0.0,False,10,FY25,2025-07-31,FY25_detentionStats07312025.xlsx,ATD FY25 YTD,
Wristworn,0,0.0,False,11,FY25,2025-07-31,FY25_detentionStats07312025.xlsx,ATD FY25 YTD,
VoiceID,0,0.0,False,12,FY25,2025-07-31,FY25_detentionStats07312025.xlsx,ATD FY25 YTD,
Dual Tech,0,0.0,False,13,FY25,2025-07-31,FY25_detentionStats07312025.xlsx,ATD FY25 YTD,
No Tech,0,0.0,False,14,FY25,2025-07-31,FY25_detentionStats07312025.xlsx,ATD FY25 YTD,
Total,0,0.0,True,15,FY25,2025-07-31,FY25_detentionStats07312025.xlsx,ATD FY25 YTD,
Technology,0,0.0,False,8,FY25,2025-08-29,FY25_detentionStats08292025.xlsx,ATD FY25 YTD,
SmartLINK,0,0.0,False,9,FY25,2025-08-29,FY25_detentionStats08292025.xlsx,ATD FY25 YTD,
Ankle Monitor,0,0.0,False,10,FY25,2025-08-29,FY25_detentionStats08292025.xlsx,ATD FY25 YTD,
Wristworn,0,0.0,False,11,FY25,2025-08-29,FY25_detentionStats08292025.xlsx,ATD FY25 YTD,
VoiceID,0,0.0,False,12,FY25,2025-08-29,FY25_detentionStats08292025.xlsx,ATD FY25 YTD,
No Tech,0,0.0,False,13,FY25,2025-08-29,FY25_detentionStats08292025.xlsx,ATD FY25 YTD,
Dual Tech,0,0.0,False,14,FY25,2025-08-29,FY25_detentionStats08292025.xlsx,ATD FY25 YTD,
Total,0,0.0,True,15,FY25,2025-08-29,FY25_detentionStats08292025.xlsx,ATD FY25 YTD,
Technology,0,0.0,False,8,FY25,2025-09-25,FY25_detentionStats09252025.xlsx,ATD FY25 YTD,
SmartLINK,0,0.0,False,9,FY25,2025-09-25,FY25_detentionStats09252025.xlsx,ATD FY25 YTD,
Ankle Monitor,0,0.0,False,10,FY25,2025-09-25,FY25_detentionStats09252025.xlsx,ATD FY25 YTD,
Wristworn,0,0.0,False,11,FY25,2025-09-25,FY25_detentionStats09252025.xlsx,ATD FY25 YTD,
VoiceID,0,0.0,False,12,FY25,2025-09-25,FY25_detentionStats09252025.xlsx,ATD FY25 YTD,
No Tech,0,0.0,False,13,FY25,2025-09-25,FY25_detentionStats09252025.xlsx,ATD FY25 YTD,
Dual Tech,0,0.0,False,14,FY25,2025-09-25,FY25_detentionStats09252025.xlsx,ATD FY25 YTD,
Total,0,0.0,True,15,FY25,2025-09-25,FY25_detentionStats09252025.xlsx,ATD FY25 YTD,
Technology,0,0.0,False,8,FY25,2024-11-21,FY25_detentionStats11212024.xlsx,ATD FY25 YTD,
SmartLINK,0,0.0,False,9,FY25,2024-11-21,FY25_detentionStats11212024.xlsx,ATD FY25 YTD,
Ankle Monitor,0,0.0,False,10,FY25,2024-11-21,FY25_detentionStats11212024.xlsx,ATD FY25 YTD,
Wristworn,0,0.0,False,11,FY25,2024-11-21,FY25_detentionStats11212024.xlsx,ATD FY25 YTD,
VoiceID,0,0.0,False,12,FY25,2024-11-21,FY25_detentionStats11212024.xlsx,ATD FY25 YTD,
Dual Tech,0,0.0,False,13,FY25,2024-11-21,FY25_detentionStats11212024.xlsx,ATD FY25 YTD,
No Tech,0,0.0,False,14,FY25,2024-11-21,FY25_detentionStats11212024.xlsx,ATD FY25 YTD,
Total,0,0.0,True,15,FY25,2024-11-21,FY25_detentionStats11212024.xlsx,ATD FY25 YTD,
